t,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos
0.0,0.0,0.0,-3.1447812568982272e-12,1.459713268936448e-08,0.3413543313431231,3.1447812568982272e-12,-1.459713268936448e-08,1.4597133028117619e-08
0.002,6e-05,0.0,-8.808246566280007e-12,4.0738841038090784e-08,0.34123661134084693,6.000000880824657e-05,-4.0738841038090784e-08,6.000002263868602e-05
0.004,0.00012,0.0,-1.6485780727304066e-11,7.600445689827046e-08,0.34107965133765683,0.00012000001648578073,-7.600445689827046e-08,0.00012000004055526447
0.006,0.00017999999999999998,0.0,-2.5771088621230056e-11,1.1847442012935871e-07,0.3408834513336235,0.00018000002577108862,-1.1847442012935871e-07,0.00018000006476049055
0.008,0.00024,0.0,-3.633730287182179e-11,1.6662656327486233e-07,0.34064801132879136,0.00024000003633730288,-1.6662656327486233e-07,0.0002400000941798113
0.01,0.0003,0.0,-4.792162913804936e-11,2.1925386090045686e-07,0.34037333132319103,0.0003000000479216291,-2.1925386090045686e-07,0.0003000001280420315
0.012,0.00035999999999999997,0.0,-6.031290094180804e-11,2.7539920164774315e-07,0.34005941131684647,0.0003600000603129009,-2.7539920164774315e-07,0.0003600001656527571
0.014,0.00042,0.0,-7.334151421835375e-11,3.343036602120909e-07,0.33970625130977816,0.00042000007334151425,-3.343036602120909e-07,0.0004200002063878238
0.016,0.00048,0.0,-8.68713001205651e-11,3.953654754262755e-07,0.3393138513020049,0.00048000008687130015,-3.953654754262755e-07,0.0004800002496981797
0.018000000000000002,0.00054,0.0,-1.0079297141596573e-10,4.5810751877040406e-07,0.3388822112935445,0.0005400001007929714,-4.5810751877040406e-07,0.0005400002951100287
0.02,0.0006,0.0,-1.150188432694164e-10,5.221514961399632e-07,0.33841133128441375,0.0006000001150188432,-5.221514961399632e-07,0.0006000003422205775
0.022,0.0006599999999999999,0.0,-1.2947858410333715e-10,5.871974893386277e-07,0.3379012112746288,0.000660000129478584,-5.871974893386277e-07,0.0006600003906912776
0.024,0.0007199999999999999,0.0,-1.4411579780114343e-10,6.530077321512287e-07,0.33735185126420475,0.0007200001441157978,-6.530077321512287e-07,0.0007200004402400514
